DOG NAME_x,LINK,SEX,AGE,WEIGHT,BREED MIXES_x,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,month,year,ID,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,TRANSPORT DATE,ALTERED,HW,FT,C,Date of Birth,Adopted On,MIX_x,AGE MEASURE,SECONDARY BREED_x,SPAYED/NEUTERED,COLOR_FIXED,multi_color,num_colors,contains_black,contains_white,contains_yellow,WEIGHT2,Age at Adoption (days),DOG NAME_y,BREED MIXES_y,SECONDARY BREED_y,MIX_y,BREED_MIXES_FIXED,is_retriever,is_shepherd,is_other_breed,MIX_FIXED,MIX_BOOL
AJ,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15074003&key=Mqr6gy1W,Male,5 months,20.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-MD-19-1489,,Walks alone not enough (needs running or playtime); older puppy; recovering from demodex,,,,,,,,2019-06-08,2019-12-01,,,,,black,0.0,1.0,1.0,0.0,0.0,20.0,176.0,AJ,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Alfafa (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056925&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Golden,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1563,,Puppy Screen; bully warning,,,,,,,,2019-09-12,2019-12-15,,,,,golden,0.0,1.0,0.0,0.0,1.0,12.0,94.0,Alfafa (3 shots),"Labrador Retriever, Terrier",,,"Labrador Retriever, Terrier",1.0,0.0,0.0,Mix,1.0
Aioli (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056921&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1562,,New this week; Puppy Screen; bully warning,,,,,,,,2019-09-12,2019-12-07,,,,,"fawn, white",1.0,2.0,0.0,1.0,0.0,12.0,86.0,Aioli (3 shots),"Labrador Retriever, Terrier",,,"Labrador Retriever, Terrier",1.0,0.0,0.0,Mix,1.0
Alec,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114521&key=Mqr6gy1W,Male,1 year,45.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-MD-19-1570,,New this week,,,,,,,,2018-11-23,2019-12-08,,,,,black,0.0,1.0,1.0,0.0,0.0,45.0,380.0,Alec,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Allen,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15058001&key=Mqr6gy1W,Male,2 years,45.00lbs,Pointer,Black & White,Yes,,,,Dec,2019,FLRN-MD-19-1571,,New this week,,,,,,,,2017-11-09,2020-03-21,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,45.0,863.0,Allen,Pointer,,,Pointer,0.0,0.0,1.0,,0.0
Alford (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15127457&key=Mqr6gy1W,Male,4 months,20.00lbs,"Beagle, Shepherd",Tri-color,Yes,,,,Dec,2019,FLRN-MD-19-1604,,New this week; Puppy Screen; caution on apartments due to breed,,,,,,,,2019-07-25,2019-12-07,,,,,tri-color,1.0,3.0,0.0,0.0,0.0,20.0,135.0,Alford (2 shots),"Beagle, Shepherd",,,"Beagle, Shepherd",0.0,1.0,0.0,Mix,1.0
Almond (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056941&key=Mqr6gy1W,Female,2 months,10.00lbs,"Labrador Retriever, Terrier",Golden,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-FD-19-1564,,New this week; Puppy Screen; bully warning,,,,,,,,2019-09-12,,,,,,golden,0.0,1.0,0.0,0.0,1.0,10.0,813.0,Almond (3 shots),"Labrador Retriever, Terrier",,,"Labrador Retriever, Terrier",1.0,0.0,0.0,Mix,1.0
Anchovy (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056929&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1565,,New this week; Puppy Screen; bully warning,,,,,,,,2019-09-12,2021-08-22,,,,,"fawn, white",1.0,2.0,0.0,1.0,0.0,12.0,710.0,Anchovy (3 shots),"Labrador Retriever, Terrier",,,"Labrador Retriever, Terrier",1.0,0.0,0.0,Mix,1.0
Apple (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056932&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1566,,New this week; Puppy Screen; bully warning,,,,,,,,2019-09-12,2019-12-07,,,,,"fawn, white",1.0,2.0,0.0,1.0,0.0,12.0,86.0,Apple (3 shots),"Labrador Retriever, Terrier",,,"Labrador Retriever, Terrier",1.0,0.0,0.0,Mix,1.0
Apricot (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056933&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn & White,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1567,,New this week; Puppy Screen; bully warning,,,,,,,,2019-09-12,,,,,,"fawn, white",1.0,2.0,0.0,1.0,0.0,12.0,813.0,Apricot (3 shots),"Labrador Retriever, Terrier",,,"Labrador Retriever, Terrier",1.0,0.0,0.0,Mix,1.0
Artichoke (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056939&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Tan & White,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1568,,New this week; Puppy Screen; bully warning,,,,,,,,2019-09-12,2019-12-07,,,,,"tan, white",1.0,2.0,0.0,1.0,1.0,12.0,86.0,Artichoke (3 shots),"Labrador Retriever, Terrier",,,"Labrador Retriever, Terrier",1.0,0.0,0.0,Mix,1.0
Avocado (3 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15056940&key=Mqr6gy1W,Male,2 months,12.00lbs,"Labrador Retriever, Terrier",Fawn,Yes,,,S/N: 3/1/20,Dec,2019,FLRN-MD-19-1569,,New this week; Puppy Screen; bully warning,,,,,,,,2019-09-12,2019-12-08,,,,,fawn,0.0,1.0,0.0,0.0,0.0,12.0,87.0,Avocado (3 shots),"Labrador Retriever, Terrier",,,"Labrador Retriever, Terrier",1.0,0.0,0.0,Mix,1.0
Balove (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15143535&key=Mqr6gy1W,Male,,,,,,,,,Dec,2019,FLRN-MD-19-1574,,,,,,,,,,2019-10-22,2019-12-08,,,,,,,,,,,,47.0,Balove (2 shots),,,,,0.0,0.0,0.0,,
Birdie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15138376&key=Mqr6gy1W,Female,8 months,30.00lbs,Labrador Retriever,Golden,Yes,,,,Dec,2019,FLRN-FD-19-1578,,New this week,,,,,,,,2019-03-08,2019-12-08,,,,,golden,0.0,1.0,0.0,0.0,1.0,30.0,275.0,Birdie,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Cash,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15150366&key=Mqr6gy1W,Male,10 months,40.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-MD-19-1580,,New this week,,,,,,,,2019-02-02,2019-12-08,,,,,black,0.0,1.0,1.0,0.0,0.0,40.0,309.0,Cash,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Celia,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114612&key=Mqr6gy1W,Female,9 months,20.00lbs,"Beagle, Labrador Retriever",Black,Yes,,,,Dec,2019,FLRN-FD-19-1606,,New this week; caution on apartments due to breed,,,,,,,,2019-01-17,2019-12-07,,,,,black,0.0,1.0,1.0,0.0,0.0,20.0,324.0,Celia,"Beagle, Labrador Retriever",,,"Beagle, Labrador Retriever",1.0,0.0,0.0,Mix,1.0
Cheese,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15143573&key=Mqr6gy1W,Male,6 months,35.00lbs,"Hound, Great Dane",Orange,Yes,,,,Dec,2019,FLRN-MD-19-1581,,New this week; older puppy,,,,,,,,,2019-12-08,,,,,orange,0.0,1.0,0.0,0.0,0.0,35.0,,Cheese,"Hound, Great Dane",,,"Hound, Great Dane",0.0,0.0,1.0,Mix,1.0
Candy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14958984&key=Mqr6gy1W,Female,2.5 years,55.00lbs,Labrador Retriever,Brown & White,Yes,,,,Dec,2019,FLRN-FD-19-1336,,Walks alone not enough (needs running or playtime),,,,,,,,2017-10-15,2019-12-08,,,,,"brown, white",1.0,2.0,0.0,1.0,0.0,55.0,784.0,Candy,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Clay,,Male,2.5 years,50.00lbs,Labrador Retriever,Golden,Yes,,,,Dec,2019,FLRN-MD-18-1771,,Walks alone not enough (needs running or playtime),,,,,,,,2017-11-27,2019-12-08,,,,,golden,0.0,1.0,0.0,0.0,1.0,50.0,741.0,Clay,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Dudley (2 shots),,Male,,,,,,,,,Dec,2019,FLRN-MD-19-1607,,,,,,,,,,2019-10-07,2019-12-08,,,,,,,,,,,,62.0,Dudley (2 shots),,,,,0.0,0.0,0.0,,
Farley (2 shots),,Female,,,,,,,,,Dec,2019,FLRN-FD-19-1650,,,,,,,,,,2019-09-12,2019-12-08,,,,,,,,,,,,87.0,Farley (2 shots),,,,,0.0,0.0,0.0,,
Frannie (2 shots),,Female,,,,,,,,,Dec,2019,FLRN-FD-19-1651,,,,,,,,,,2019-09-12,2019-12-08,,,,,,,,,,,,87.0,Frannie (2 shots),,,,,0.0,0.0,0.0,,
Gigi (2 shots),,Female,,,,,,,,,Dec,2019,FLRN-FD-19-1584,,,,,,,,,,2019-09-14,2019-12-05,,,,,,,,,,,,82.0,Gigi (2 shots),,,,,0.0,0.0,0.0,,
Jack,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15125584&key=Mqr6gy1W,Male,10 months,30.00lbs,Shepherd,Fawn,Yes,,,,Dec,2019,FLRN-MD-19-1585,,New this week,,,,,,,,,2019-12-08,,,,,fawn,0.0,1.0,0.0,0.0,0.0,30.0,,Jack,Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Jaycee,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15137717&key=Mqr6gy1W,Female,1 year,45.00lbs,Flat-coated Retriever,Black,Yes,,,,Dec,2019,FLRN-FD-19-1586,,New this week,,,,,,,,2018-11-16,,,,,,black,0.0,1.0,1.0,0.0,0.0,45.0,1113.0,Jaycee,Flat-coated Retriever,,,Flat-Coated Retriever,1.0,0.0,0.0,,0.0
Jellybean,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15140267&key=Mqr6gy1W,Female,6 months,25.00lbs,"Labrador Retriever, Beagle",Black & White,Yes,,,,Dec,2019,FLRN-FD-19-1609,,New this week; caution on apartments due to breed; older puppy,,,,,,,,2019-06-02,2019-12-08,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,25.0,189.0,Jellybean,"Labrador Retriever, Beagle",,,"Labrador Retriever, Beagle",1.0,0.0,0.0,Mix,1.0
Flame,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15072440&key=Mqr6gy1W,Male,1 year,45.00lbs,Retriever,Yellow,Yes,,,,Dec,2019,FLRN-MD-19-1497,,Walks alone not enough (needs running or playtime),,,,,,,,2018-11-10,2019-12-08,,,,,yellow,0.0,1.0,0.0,0.0,1.0,45.0,393.0,Flame,Retriever,,,Retriever,1.0,0.0,0.0,,0.0
Georgie (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14958392&key=Mqr6gy1W,Male,1 year,55.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-MD-19-1499,,Walks alone not enough (needs running or playtime); HW treated 10/15/19; very high energy (needs daily running),,,,,,,,2018-10-15,2019-12-08,,,,,black,0.0,1.0,1.0,0.0,0.0,55.0,419.0,Georgie (HW),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
June,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15141908&key=Mqr6gy1W,Female,10 months,40.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-FD-19-1611,,New this week,,,,,,,,2019-02-02,2019-12-08,,,,,black,0.0,1.0,1.0,0.0,0.0,40.0,309.0,June,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Keanu,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15010428&key=Mqr6gy1W,Male,1 year,35.00lbs,Terrier,Tan,Yes,No,,,Dec,2019,FLRN-MD-19-1504,,Walks alone not enough (needs running or playtime); bully Screen; no cats,,,,,,,,2018-10-15,,,,,,tan,0.0,1.0,0.0,0.0,1.0,35.0,1145.0,Keanu,Terrier,,,Terrier,0.0,0.0,1.0,,0.0
Maddy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15070375&key=Mqr6gy1W,Female,2 years,35.00lbs,Spaniel,Tri-color,Yes,,,11/8 - Being treated for ear infection,Dec,2019,FLRN-FD-19-1590,,New this week,,,,,,,,2017-11-10,2019-12-08,,,,,tri-color,1.0,3.0,0.0,0.0,0.0,35.0,758.0,Maddy,Spaniel,,,Spaniel,0.0,0.0,1.0,,0.0
Marla (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14999246&key=Mqr6gy1W,Female,2 years,30.00lbs,Boston Terrier,Brindle,Yes,,,,Dec,2019,FLRN-FD-19-1591,,New this week; HW treated 11/19/19,,,,,,,,2017-10-15,2019-12-07,,,,,brindle,0.0,1.0,0.0,0.0,0.0,30.0,783.0,Marla (HW),Boston Terrier,,,Boston Terrier,0.0,0.0,1.0,,0.0
Moti,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15027638&key=Mqr6gy1W,Female,1 year,19.00lbs,"Jack Russell Terrier, Dachshund",Tan & White,Yes,,,,Dec,2019,PRCO-FD-19-1488,,Walks alone not enough (needs running or playtime),,,,,,,,,,,,,,"tan, white",1.0,2.0,0.0,1.0,1.0,19.0,,Moti,"Jack Russell Terrier, Dachshund",,,"Jack Russell Terrier, Dachshund",0.0,0.0,1.0,Mix,1.0
Opie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114840&key=Mqr6gy1W,Male,9 months,28.00lbs,Basset Hound,Black,Yes,,,,Dec,2019,FLRN-MD-19-1593,,New this week; caution on apartments due to breed,,,,,,,,2019-03-02,2019-12-07,,,,,black,0.0,1.0,1.0,0.0,0.0,28.0,280.0,Opie,Basset Hound,,,Basset Hound,0.0,0.0,1.0,,0.0
Ozzie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15122012&key=Mqr6gy1W,Male,1 year,70.00lbs,German Shepherd,Black & Tan,Yes,,,,Dec,2019,FLRN-MD-19-1594,,New this week; caution on German Shepherd restrictions,,,,,,,,2018-11-10,2019-12-07,,,,,"black, tan",1.0,2.0,1.0,0.0,1.0,70.0,392.0,Ozzie,German Shepherd,,,German Shepherd,0.0,1.0,0.0,,0.0
Pearl,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15020415&key=Mqr6gy1W,Female,7 months,30.00lbs,Shepherd,Tan,Yes,,No,,Dec,2019,FLRN-FD-19-1517,,Walks alone not enough (needs running or playtime); commitment to socialization due to shyness; best in residential home,,,,,,,,2019-03-29,2019-12-07,,,,,tan,0.0,1.0,0.0,0.0,1.0,30.0,253.0,Pearl,Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Pogo (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15127616&key=Mqr6gy1W,Female,2 years,50.00lbs,Retriever,Golden,Yes,,,,Dec,2019,FLRN-FD-19-1595,,New this week; HW treated 11/25/19,,,,,,,,2017-11-11,,,,,,golden,0.0,1.0,0.0,0.0,1.0,50.0,1483.0,Pogo (HW),Retriever,,,Retriever,1.0,0.0,0.0,,0.0
Queen (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14958358&key=Mqr6gy1W,Female,8 years,45.00lbs,"Labrador Retriever, Pointer",Black & White,Yes,,,,Dec,2019,FLRN-FD-19-1596,,New this week; HW treated 11/5/19,,,,,,,,2011-10-15,,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,45.0,3702.0,Queen (HW),"Labrador Retriever, Pointer",,,"Labrador Retriever, Pointer",1.0,0.0,0.0,Mix,1.0
Rena,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15144654&key=Mqr6gy1W,Female,2 years,25.00lbs,Beagle,Tri-color,Yes,,,,Dec,2019,FLRN-FD-19-1617,,New this week; caution on apartments due to breed,,,,,,,,2017-12-23,2019-12-08,,,,,tri-color,1.0,3.0,0.0,0.0,0.0,25.0,715.0,Rena,Beagle,,,Beagle,0.0,0.0,1.0,,0.0
Ron (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15067756&key=Mqr6gy1W,Male,2 years,40.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-MD-19-1618,,New this week; HW treated 11/12/19,,,,,,,,2017-11-10,2019-12-08,,,,,black,0.0,1.0,1.0,0.0,0.0,40.0,758.0,Ron (HW),Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Snow,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15123179&key=Mqr6gy1W,Male,10 months,10.00lbs,Poodle,White,Yes,,,,Dec,2019,FLRN-MD-19-1602,,New this week,,,,,,,,2019-02-02,2019-12-07,,,,,white,0.0,1.0,0.0,1.0,0.0,10.0,308.0,Snow,Poodle,,,Poodle,0.0,0.0,1.0,,0.0
Wallace,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114626&key=Mqr6gy1W,Male,7 months,30.00lbs,Flat-coated Retriever,Black & White,Yes,,,,Dec,2019,FLRN-MD-19-1603,,New this week; older puppy?,,,,,,,,2019-05-02,,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,30.0,946.0,Wallace,Flat-coated Retriever,,,Flat-Coated Retriever,1.0,0.0,0.0,,0.0
Hailey,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=10786411&key=Mqr6gy1W,Female,2 years,57.00lbs,Labrador Retriever,Tan,NO,,,,Dec,2019,HERT-FD-16-1216,,Dog parks best at off hours; must be only dog; walks alone not enough (needs running and playtime),,,,,No,,,,2019-12-09,Mix,weeks,,No,tan,0.0,1.0,0.0,0.0,1.0,57.0,,Hailey,Labrador Retriever,,Mix,Labrador Retriever,1.0,0.0,0.0,Mix,1.0
Amapola,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15162310&key=Mqr6gy1W,Female,3 years,13.00lbs,Terrier,Fawn,Yes,,,,Dec,2019,PRCO-FD-19-1674,,New this week,,,,,,,,2016-06-01,2019-12-15,,,,,fawn,0.0,1.0,0.0,0.0,0.0,13.0,1292.0,Amapola,Terrier,,,Terrier,0.0,0.0,1.0,,0.0
Andi,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15003390&key=Mqr6gy1W,Female,8 months,45.00lbs,Shepherd,Orange & White,Yes,Lived with,Lived with,,Dec,2019,FRKN-FD-19-1389,,Walks alone not enough (needs running or playtime); lived with kids and cats,,,,,,,,2019-04-01,2019-12-12,,,,,"orange, white",1.0,2.0,0.0,1.0,0.0,45.0,255.0,Andi,Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Baloo,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15137762&key=Mqr6gy1W,Female,1 year,50.00lbs,Shepherd,Brown (chocolate),Yes,,,,Dec,2019,FLRN-FD-19-1573,,Walks alone not enough (needs running or playtime),,,,,,,,,,,,,,brown,0.0,1.0,0.0,0.0,0.0,50.0,,Baloo,Shepherd,,,Shepherd,0.0,1.0,0.0,,0.0
Bianca,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15063898&key=Mqr6gy1W,Female,10 months,40.00lbs,Labrador Retriever,Tan & White,Yes,,,,Dec,2019,FLRN-FD-19-1577,,Walks alone not enough (needs running or playtime),,,,,,,,2019-01-11,,,,,,"tan, white",1.0,2.0,0.0,1.0,1.0,40.0,1057.0,Bianca,Labrador Retriever,,,Labrador Retriever,1.0,0.0,0.0,,0.0
Biggie Smalls,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14789606&key=Mqr6gy1W,Male,4 years,100.00lbs,"Hound, Shepherd",Tan,Yes,,,,Dec,2019,OTHR-MD-19-1102,,Medium energy; needs to lose weight; resource guarding tendencies,,,,,,,,2015-09-01,2019-12-15,,,,,tan,0.0,1.0,0.0,0.0,1.0,100.0,1566.0,Biggie Smalls,"Hound, Shepherd",,,"Hound, Shepherd",0.0,1.0,0.0,Mix,1.0
Blaze,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114836&key=Mqr6gy1W,Female,6 months,13.00lbs,"Labrador Retriever, Beagle",Black & White,Yes,,,,Dec,2019,FLRN-FD-19-1631,,New this week; older puppy; caution on apartments due to breed,,,,,,,,2019-06-01,,,,,,"black, white",1.0,2.0,1.0,1.0,0.0,13.0,916.0,Blaze,"Labrador Retriever, Beagle",,,"Labrador Retriever, Beagle",1.0,0.0,0.0,Mix,1.0
