LDAR Name,LDAR ID #,Reason for Return,Status,Behavior with Dogs,Behavior with Cats,Behavior with Kids,Behavior in Crate,Energy Level,Socialization / Daycare,Vetting,Preventatives Date,Date of Adoption,Trial Adoption,Has the animal been returned before?,Previous Return Information,Date of Returns Email Sent,Date of Returns Packet,Timeline for Return,Plan for Return,Return or Rehome/Surrender,Month Returned,year,Dog info,6 Month +,Year Adopted,Date Returned,Date Returns Packet Sent,Current Status,Link,Return Category,DOG/CAT,Trainer Eval Req,Other Info,Outcome,Plan for return?,Date of Contact,Primary Reason,Vet Rec Rec'd,Date Monthly Med,Vetting Needed
Matilda,FLRN-FD-20-1403,Dog not interacting well with kids,"1/4 - Reached out for return, survey sent (L)
1/7 - Medical review, needs HW test
1/9 - Packet Submitted",OK,"Unknown, Probably will not do well",Aggressive to adopter's young children,"Does not use crates, is confined and does ok",Medium-High,Good at daily dog parks,UTD,2020-01-01 00:00:00,2020-05-23 00:00:00,No,No,,2020-01-04 00:00:00,2020-01-09 00:00:00,Can rehome,,REHOME,Jan,2021,F/2YO/33lbs/SheltieMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Clara,FLRN-FD-20-3484,Son has allergies to the dog,"12/31 - Reached out for return
1/1 - Return survey sent (K)
1/7- Followed up (K)
1/11 - Received survey, f/u for med records
1/12 - F/u for med records
1/15 - med review
1/17- Packet submitted
Foster confirmed, pending scheduling
RETURNED - 1/22",Unknown,Unknown,Great,Great,Medium,,Too young for spay and rabies,2021-01-10 00:00:00,2021-12-26 00:00:00,No,No,,2020-12-31 00:00:00,2021-01-17 00:00:00,ASAP,,RETURN,Jan,2021,F/12WK/14lbs/ShepMix,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Paisley,FLRN-FD-20-1215,Resource guarding/aggression towards strangers and kids,"1/10 - Return requested, survey sent (K)
1/12 - Followed up
1/12 - Medical Review
1/13 - Packet submitted
SCHEDULED - SAT 1/23",Great,Unknown,Typically good but will chase and bite,Not good,Generally low,Loves dog parks,UTD (UTD on lyme & lepto vaccines as well),2020-12-20 00:00:00,2020-05-12 00:00:00,No,No,,2020-01-10 00:00:00,2021-01-13 00:00:00,ASAP,,RETURN,Jan,2021,F/9MO/65lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Dodo,FLRN-FD-20-3368,Prey drive with cat,"1/18 - Reached out for return, survey sent
1/20 - FU sent
1/23 - Survey and vet records received, sent for medical review, pending pictures",Great,NO,Great,Great,Medium-Height,OK at dog parks,UTD,Due Now - pending response from adapter,2020-12-28 00:00:00,No,No,,2020-01-18 00:00:00,2020-01-25 00:00:00,Pending adoption ,,RETURN,Jan,2021,F/2YO/20/BoxerPitMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Glenn,FLRN-MD-21-0013,Family member allergic,"1/20 - Reached out for return
1/21 - Survey sent (K)
1/25 - Packet submitted
1/25 - Scheduling email sent
1/26 - 10:30AM",Unknown ,Unknown ,Friendly,Whines but calms down quickly,Med-High,Unknown,UTD,"1/5 - heartworm
1/10 - flea/tick",2021-01-13 00:00:00,No,No,,2021-01-20 00:00:00,2021-01-25 00:00:00,ASAP,,RETURN,Jan,2021,M/9MO/42lbs/ShepMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Poppy,MAWF-FD-21-0003," Poppy has been really struggling with city life. She's super shy and rarely leaves her crate, which is her ""safe space"", for more than a few minutes at a time. ","1/20 - Reached out for return
1/23 - Survey sent (L)
1/24 - Survey and pics received, pending new med records
1/25 - Medical Review","Good, can be nervous",Unknown,"Unknown, probably a little fearful",Great,Low but could be because of fear,Good with small numbers,"Being treated for ehrlichia, bring doxy at return","Due now, adopter will give at return",2021-01-08 00:00:00,No,No,,2021-01-23 00:00:00,2021-01-26 00:00:00,By Friday if possible,,RETURN,Jan,2021,F/1.5YO/24lbs/Doxie,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Harold,FLRN MD 20-3451,Nonstop barking and extremely high energy,"1/11 - Return requested, survey sent (K)
1/12 - Medical Review
1/13 - Reached out to say training is working, on hold
1/19 - Reached out to return again
1/20 - Packet submitted and sent scheduling email",Good,Unknown,Unknown,Barks and then settles and then barks again,High,,Treated for HW 5 weeks ago; Alprazolam for anxiety,2021-01-09 00:00:00,2021-01-05 00:00:00,No,No,,2021-01-11 00:00:00,2021-01-20 00:00:00,ASAP,,RETURN,Jan,2021,M/2YO/50lbs/HoundMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Mandy,FRKN-FD-20-3388,Dog is reactive to other dogs and to people,"1/28 - Reached out for return, survey sent (L)
1/28 - Branding, medical review
1/29 - Submitted
SAT, 1/30 return",Reactive to other dogs,Unknown,"OK, but bit risk","Needs some training, but OK",Medium,Unknown,HW POS,2021-01-06 00:00:00,2021-12-17 00:00:00,No,No,,2021-01-28 00:00:00,2021-01-29 00:00:00,As soon as we find foster,,RETURN,Jan,2021,F/4YO/38lbs/FiestMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Kaki,FRKN-FD-19-1307,Has a compulsive disorder that the adopter is not able to manage,"1/22 - Survey sent (L)
1/23 - Survey and pics received, pending med records from Dr Pike
1/25 - Medical Review
Saturday, 1/30, 1 PM",Good,Unknown,Can be snappy,Good,Mod-High,Good at a doggie playgroup,"keep the meds the same until we get her back and then discuss with Dr Pike what to wean her off.
See survey for meds",Due now,2019-10-20 00:00:00,No,No,,2021-01-22 00:00:00,2021-01-26 00:00:00,Currently living in Boston,,RETURN,Jan,2021,F/2.5YO/33lbs/Beagle,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Archer,FLRN-MD-20-3117,Leash reactivity; Apt not good environment,"12/26 - Reached out for return
12/27 - Survey sent (K), received survey
12/28 - Packet submitted
SUNDAY, 1 PM",Leash reactive,Unknown,Unknown,Good,High,Unknown,UTD,2021-01-15 00:00:00,2021-01-13 00:00:00,No,No,,2021-01-25 00:00:00,2021-01-28 00:00:00,ASAP,,RETURN,Jan,2021,M/2YO/55lbs/ShepMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Zander,LACS-MD-20-3330,Is not doing well in a home with a male,"1/22 - Reached out for return
1/24 - Survey sent (L)
1/28 - No medical records, submmitted
PENDING FORM - Monday return
ADOPTION PENDING
2/2 - RETURNED, ADOPTED",Unknown,Unknown,Unknown,Good/Calm,Low,Unknown,No new vet records,OVER DUE - NEED AT RETURN,2020-12-26 00:00:00,No,No,,2021-01-24 00:00:00,2021-01-28 00:00:00,By 2/13/2021,,RETURN,Feb,2021,M/3.5YO/10lbs/ChiMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Chance,FLRN-MD- 21-0074,"Dog is biting family members, son is autistic and this is traumatic for him","1/21 - Reached out for return
1/22 - Survey sent (K)
1/24 - Adopter wants to work with trainer, on hold
1/25 - Return back on; waiting on vet records
1/31 - vet records returned; packet submitted
TUESDAY, 2/2 - NOON
M&G Pending
ADOPTED!","Unknown - claims that he has been aggressive, but sounds like he just needs boundaries",Unknown,Very mouthy,Cries and then settles,Normal,Unknown,UTD,"1/6 - HW
1/10 Flea/tick",2021-01-16 00:00:00,Yes,No,,2021-01-20 00:00:00,2021-01-31 00:00:00,ASAP,,RETURN,Feb,2021,M/1YO/28lbs/ShepMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Slice,FLRN-FD-21-0138,Not ready to have a fearful dog. She won't leave her crate and doesn't want to work on the issue. He thinks she would be a better fit for someone with other dogs,"1/26 - reached out for return
1/28 - Survey sent (L)
1/31 - Asking about soft stool, all resolved
1/31 - Packet submitted",Friendly,Unknown,Shy,"Always in crate, doesnt' like to come out",Low,Unknown,Treated for ear infection,2021-01-19 00:00:00,2021-01-23 00:00:00,Yes,No,,2021-01-28 00:00:00,2021-01-31 00:00:00,ASAP,,RETURN,Feb,2021,M/1YO/25lbs/BeagleMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Lilah Rose,FRKN-FD-21-0161,Not integrating with resident dog,"1/31 - Reached out for return
SCHEDULING - NO PACKET
THURSDAY, 2/4 4:30 PM
M&G Pending",,,,,,,,,2021-01-31 00:00:00,No,No,,No Packet,No Packet,,,RETURN,Feb,2021,F/3.5YO/49lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Jaime,LACS-FD-21-0055,Dog needs more exercise than adopter can provide,"2/1 - Reached out for return
2/2 - Survey sent (L)
2/3 - Medical review, needs updated records, pos for whipworm
2/4 - Submitted
Friday, 2/5, 4 PM
ADOPTED",OK,Unknown,Curuios,Great,Med-High,"Went to dog park, needs socialization","Medical notes:
1. Right eye - mild discharge, being treated with Neo Poly Gram (can we make sure she comes back with that, Ash need to flag for her next foster)
2. Mild dandruff - rec fish oil
3. Started Lepto vaccine series on 2/2 - needs booster in 3-6 weeks from 2/2 if adopter wishes to continue ",2021-01-20 00:00:00,2021-01-26 00:00:00,No,No,,2021-02-02 00:00:00,2021-02-04 00:00:00,Would like to move by early next week if possible,,RETURN,Feb,2021,F/2YO/41lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Molly,FLRN-FD-21-0081,Not integrating with resident cat,"1/29 - Reached out for return, survey sent (L), pics sent for branding
1/31 - Pending vet records
2/2 - Submitted, REHOME
ADOPTION PENDING","Curious, friendly",Will chase,"Warms up, friendly","Calm, settles down",Med-High,Unknown,UTD,"HW - 1/9/2021
F/T - 1/15/2021",2021-01-16 00:00:00,Yes,No,No,2021-01-29 00:00:00,2021-02-02 00:00:00,"Can rehome, may want to move if foster is avaliable",,REHOME,Feb,2021,F/1YO/55lbs/Lab,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Edwin,ASSC-MD-21-0170,Too high energy,"2/4 - Reached out for return, survey sent (K)
2/5 - Survey returned, packet submitted
Returned scheduled 2/6 2 PM",Great,Unknown, Not aggressive. Generally gentle but can get overexcited and jumpy/nippy,"Good at night, but cries during the day and haven't left him",High,Great at dog park,UTD,2021-01-12 00:00:00,2021-01-29 00:00:00,Yes,No,,2021-02-04 00:00:00,2021-02-05 00:00:00,ASAP,,RETURN,Feb,2021,M/1YO/24lbs/JackrusselBeagleMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Roxanne,FRKN-FD-21-0111,Not integrating with resident cat,"1/31 - Reached out for return
SCHEDULING - NO PACKET
On Hold
2/6 - Survey sent
2/7 - NO NEW RECORDS, pics for branding
2/7 - SUBMITTED
RETURNED - Tuesday, 2/9
PENDING FOSTER FAIL",Playful,"Chases, aggressive towards cats",Good,Great,Very High,"Good, needs training",No new vet records,2021-01-11 00:00:00,2021-01-30 00:00:00,No,No,,2021-02-06 00:00:00,2021-02-07 00:00:00,Can keep for a few days,,RETURN,Feb,2021,F/2.5YO/40lbs/LabHoundMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Chewbarker,FLRN-MD-20-3394,Doesn't want to manage medical issues; anxiety at night,"2/11 - Reached out for return; survey sent (K)
2/12 - Medical review
ADOPTER DROPPED OFF DOG AT PREVIOUS FOSTER
2/13 - Packet submitted",Good,Unknown,Unknown,"Anxious when closed in, comfortable when going in on his own time",Low,Unknown,UTD; various medical conditions - see records,2021-01-16 00:00:00,2021-02-07 00:00:00,No,No,,2021-02-11 00:00:00,2021-02-13 00:00:00,Already dropped at foster,,RETURN,Feb,2021,M/5YO/50lbs/HoundMix,,,,,,,,Adult Dog (hrtwrm + and 7 months <= age < 9 years),,,,,,,,,
Grady,FLRN-MD-21-0183,"Dog reactive, adopter feels limited in her ability to manage the dog ","2/9 - Reached out for return
2/10 - Survey sent (L), medical review and pics for branding sent, pending training assessment
2/10 - Packet Submitted
2/11 - Connection email sent
RETURN - FRIDAY, 2/12, 11 AM",Reactive,Unknown,Good,Great,High,"Unknown, high level of dog reactivity ","Medical Notes
1st Lyme Vaccine: 2/8/21
Negative Fecal: 2/8/21",126/2021,2021-01-30 00:00:00,No,No,,2021-02-10 00:00:00,2021-02-10 00:00:00,Can be flexible,,RETURN,Feb,2021,M/11MO/43lbs/ShepMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Tater Tot,ASSC-MD-21-0177,"Not a good fit with family, needs dedicated and experienced owner","2/4 - Reached out  for return, survey sent (L)
Packet Submitted
APPT scheduled for vetting - MONDAY 2/8
Friday, 2/12, 3 PM",Unknown,Good,Great,Calms down,High,Unknown,Unknown,2021-01-11 00:00:00,2021-01-29 00:00:00,YES,No,,2021-02-04 00:00:00,2021-02-04 00:00:00,Can keep for one week,,RETURN,Feb,2021,M/8MO/37lbs/PointerMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Acacia,FRKN-FD-21-0209,Overwhelmed by dog ownership,"2/15 - Reached out for return
2/16 - Survey sent (K), survey received, packet submitted","One-on-one, she is playful and jumpy. Around multiple dogs, she gets scared",Unknown,Unknown,Barks/howls but settles - has been improving with time,High,Too scared to go in dog park,Needs distemper booster by next week,2021-01-25 00:00:00,2021-02-11 00:00:00,No,No,,2021-02-15 00:00:00,2021-02-16 00:00:00,ASAP,,REHOME,Feb,2021,F/1.5YO/41lbs/HuskyMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Audrey,ASSC-FD-21-0302,Highly anxious in the city,"2/14, 2/17 - Reached out for return
2/18 - Survey sent (L)
2/19 - Survey received, pending med recotrds
RETURNED - 2/21/2021","OK, can be reactive on leash",Unknown,Unknown,"Whines, but settles",Low,Unknown,"Had diarrhea, being treated
Should return with Metro & Famotidine",2021-02-18 00:00:00,2021-02-13 00:00:00,YES - ends 2/27,No,,2021-02-18 00:00:00,2019-02-19 00:00:00,,,RETURN,Feb,2021,F/5YO/17lbs/Cockerspanielmix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Maxx,ASSC-MD-21-0173,Too many medical issues,"2/10 - Reached out for return
2/11 - Survey sent (L)
2/11 - Medical review
2/12 - Resent for medical
Return Scheduled - MONDAY, 2/15, 1 PM",Good,Unknown,Great,Great,Low,,"Medical Notes
2/8/21
Increased PU/PD (urinating and drinking more)
Left eye - periocular crusting (hair loss and crusting around the eye), corneal edema - coming with the Erythromycin? 
Schirmer Tear Test performed - left eye has far less tear production
Fluorescein eye test - mild uptake - possible ulcer
No heart murmur, lungs clear
Severe dental tartar and halitosis (bad breath) - needs dental 
Irritated scrotum - possible infection - he was licking it, can we see if this is being treated or he needs an e collar? 
2/10/21
BW results: increased WBC, neutrophils, platelets, and BUN. decreased eosinophils 
Urinating all over the house, still PU/PD. Crated at night
Recommend ultrasound to confirm hematuria diagnosis - suspect kidney issue (mass vs. disease)",2021-01-25 00:00:00,2021-01-29 00:00:00,YES,NO,NO,2021-02-11 00:00:00,2021-02-12 00:00:00,,,RETURN,Feb,2021,M/10YO/7.5lbs/Yorkie,,,,,,,,Senior Dog (hrtwrm - and 9 years <= age),,,,,,,,,
Rocky D,FRKN-MD-21-0218,Overwhelmed and too much for me,"2/22 - Reached out for return, survey sent (L)
2/23 - No new vet records, pending branding
SUBMITTED
Scheduled - 2/27, 10 AM",Unknown,Unknown,Unknown,Unknown,Medium,,No new vet records,2021-01-28 00:00:00,2021-02-14 00:00:00,No,No,,2021-02-22 00:00:00,2021-02-23 00:00:00,ASAP,,RETURN,Feb,2021,M/3YO/12lbs/ChiMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Leona,FLRN-FD-21-0335,Too much energy,"3/3 - Reached out for return
3/4 - Survey sent
3/5 - Medical review, pics for branding
3/5 - Packet Submitted, scheduling
RETURN - MONDAY, 3:15 PM",Unknown,Unknown,Unknown,Not trained,High,Unknown,UTD,"HW - 2/16/2021
FT - 2/19/2021",2021-02-20 00:00:00,Yes,No,,2021-03-04 00:00:00,2021-03-05 00:00:00,2021-03-08 00:00:00,,RETURN,Mar,2021,F/4YO/46lbs/LabMix,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Mick,FLRN-MD-21-0358,"Puppy is not integrating with resident dog (old, health issues, not puppy's fault)","3/3 - Reached out for return
3/4 - Survey sent
3/5 - Medical review, pics for branding
3/5 - Packet Submitted, scheduling
RETURN - Sat 4 PM",May need training on dog-on-dog interactions (see report),Unknown,Great,Great,High,Unknown,"2/25/21 - Yeast infection both ears - treated with mometamax 
3/1/21 - Seen at vet for brown/yellow nasal discharge and lethargy, treated with Clavamox x 10 days (will need to return with if back in care before the 11th)
3/2/21 - Giardia +, treated with Panacur x 5 days (will need to return with if back in care before the 7th)
On Benadryl BID for itching ",2021-03-02 00:00:00,2021-02-23 00:00:00,No,No,,2021-03-04 00:00:00,2021-03-05 00:00:00,ASAP,,RETURN,Mar,2021,M/4.5MO/30lbs/Labmix,,,,,,,,Puppy (hrtwrm - and 5 months <= age < 7 months),,,,,,,,,
Nita,FLRN-FD-21-0254,Overwhelmed with puppy and toddler,"3/3 - Reached out for return, survey sent
3/4 - Branding, NO NEW MEDICAL RECORDS
RETURN - 3/7, 3:30 pm",No interactions since pick up,Good,Good,Good,Puppy energy,Unknown,NO new vetting,"LDAR records not posted, need confirm",2021-02-28 00:00:00,No,No,,2021-03-03 00:00:00,2021-03-04 00:00:00,"Move to another home situation ""ASAP""",,RETURN,Mar,2021,F/8WEEKS/7lbs/LabPit,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Lucky,FLRN-MD-21-0401,Not ready for dog after previous dog,"2/27 - Reached out for return
NO PACKET
ADOPTED!",,,,,,,,,2021-02-27 00:00:00,No,No,,,NO PACKET,Immediate,,RETURN,Mar,2021,M/1.5YO/93lbs/Lab,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Lil Eric,LACS-MD-20-3094,Not ready for a puppy,"2/23 - Reached out for return and transfer to new adopter, suvey sent
2/26 - Medical record update
2/27 - Submitted
PENDING ADOPTION",Friendly,Unknown,"Good, puppy like",OK,Normal to High,Great,"As of 2/26/21
UTD on Lyme, Lepto, DHPP, and Rabies Vaccinations",2021-02-14 00:00:00,2020-12-19 00:00:00,No,No,,2021-02-23 00:00:00,2021-02-27 00:00:00,Transfer to new adopter,,RETURN,Mar,2021,M/4MO/38lbs/RetrieverMix,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Pebbles,FLRN-FD-21-0345,Feels that pup is a pitbul and is displaying aggressive tendencies,"3/4 - Reached out for return
3/5 - Survey sent
3/8 - Medical review
3/10 - Response from adopter re giardia
3/11 - Packet submitted 
RETURNED - 3/12
ADOPTD - 3/14",Social,Unkonw,Social,Good,High,Unknown,"On Panacur (fenbendazoie) for giardia, 
DHPP - 2/27","FT - 2/27/2021
HW - 2/28/2021",2021-02-26 00:00:00,No,No,,2021-03-05 00:00:00,2021-03-11 00:00:00,"ASAP - says dog is ""aggressive and unapproachable""... ",,RETURN,Mar,2021,F/10W/10lbs/Lab,,,,,,,,Young Puppy (hrtwrm - and age < 5 months),,,,,,,,,
Titus,MTHY-MD-15-0467,as a newborn and Titus is going after the baby.,"3/1- Reached out for transfer to new adopter
3/8 - New adopter screened
3/12 - Relinquish and contract
ADOPTED",,,,,,,,,,,,,,,,,REHOME,Mar,2021,,,,,,,,,Adult Dog (hrtwrm - and 7 months <= age < 9 years),,,,,,,,,
Bridgerton,LACS-MD-21-0047,"Adopted Friday, can't manage dog","3/6 - Reached out for return
3/7 - Ashley to connect with owner
NO PACKET
3/10 - Call with Ashley
RETURNED",,,,,,,,,2021-03-05 00:00:00,No,No,,NO PACKET,NO PACKET,NO PACKET,,RETURN,Mar,2021,M/6MO/58lbs/LabMix,,,,,,,,Puppy (hrtwrm - and 5 months <= age < 7 months),,,,,,,,,
