DOG NAME,LINK,SEX,AGE,WEIGHT,BREED MIXES,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,KIDS2,month,year,Column3,Column4,Column5,Column6,Column7,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,HW,FT,C,ALTERED,Column1,Dog Name,Column2,ID,TRANSPORT DATE,Date of Birth,Adopted On,MIX,AGE MEASURE,SECONDARY BREED,SPAYED/NEUTERED
Bailey (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114662&key=Mqr6gy1W,Female,5 years,40.00lbs,Shepherd,Black & Tan,Yes,,,,,Dec,2019,,,,,,,New this week; HW treated 12/3/19,,,,,,,,,,FLRN-FD-19-1579,,2014-11-07,2019-12-29,,,,
Baloo,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15137762&key=Mqr6gy1W,Female,1 year,50.00lbs,Shepherd,Brown (chocolate),Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime),,,,,,,,,,FLRN-FD-19-1573,,,,,,,
Balove (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15143535&key=Mqr6gy1W,Male,,,,,,,,,,Dec,2019,,,,,,,,,,,,,,,,,FLRN-MD-19-1574,,2019-10-22,2019-12-08,,,,
Barkley (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15232410&key=Mqr6gy1W,Male,2 months,11.00lbs,Shepherd,,Yes,,,S/N: 5/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-MD-19-1709,,2019-10-15,2019-12-29,,,,
Beau,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15012256&key=Mqr6gy1W,Male,1 year,40.00lbs,Shepherd,Brown & White,Yes,,No if other dogs in home,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); food aggression against other dogs; no kids under 12 if there are dogs in home,,,,,,,,,,FLRN-MD-19-1410,,2018-10-15,2019-12-22,,,,
Benji (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173837&key=Mqr6gy1W,Male,2 months,7.00lbs,Terrier,Golden,Yes,,,S/N: 4/1/2020,,Dec,2019,,,,,,,Puppy Screen,,,,,,,,,,FLRN-MD-19-1629,,2019-10-06,2019-12-29,,,,
Bianca,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15063898&key=Mqr6gy1W,Female,10 months,40.00lbs,Labrador Retriever,Tan & White,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime),,,,,,,,,,FLRN-FD-19-1577,,2019-01-11,,,,,
Biggie Smalls,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14789606&key=Mqr6gy1W,Male,4 years,100.00lbs,"Hound, Shepherd",Tan,Yes,,,,,Dec,2019,,,,,,,Medium energy; needs to lose weight; resource guarding tendencies,,,,,,,,,,OTHR-MD-19-1102,,2015-09-01,2019-12-15,,,,
Birdie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15138376&key=Mqr6gy1W,Female,8 months,30.00lbs,Labrador Retriever,Golden,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,FLRN-FD-19-1578,,2019-03-08,2019-12-08,,,,
Blast (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15143560&key=Mqr6gy1W,Male,1.5 months,6.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/1/20,,Dec,2019,,,,,,,Puppy Screen; being treated for demodex,,,,,,,,,,FLRN-MD-19-1575,,2019-10-22,2019-12-20,,,,
Blaze,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114836&key=Mqr6gy1W,Female,6 months,13.00lbs,"Labrador Retriever, Beagle",Black & White,Yes,,,,,Dec,2019,,,,,,,New this week; older puppy; caution on apartments due to breed,,,,,,,,,,FLRN-FD-19-1631,,2019-06-01,,,,,
Blizzard,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15226030&key=Mqr6gy1W,Female,8 months,26.00lbs,"Labrador Retriever, Spaniel",Black,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,FLRN-FD-19-1710,,2019-04-12,,,,,
Brutus (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15143542&key=Mqr6gy1W,Male,2 months,6.00lbs,Labrador Retriever,Black,,,,S/N: 4/1/20,,Dec,2019,,,,,,,Puppy Screen; being treated for demodex,,,,,,,,,,FLRN-MD-19-1576,,2019-10-22,2019-12-31,,,,
Button (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173854&key=Mqr6gy1W,Female,2 months,5.00lbs,Terrier,Black & Tan,Yes,,,S/N: 4/1/2020,,Dec,2019,,,,,,,Puppy Screen,,,,,,,,,,FLRN-FD-19-1630,,2019-10-06,2019-12-22,,,,
Cadence,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15054762&key=Mqr6gy1W,Female,1.5 years,40.00lbs,"Shepherd, Retriever",Tan & White,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); a bit shy; bully warning,,,,,,,,,,KINS-FD-19-1435,,2018-05-01,,,,,
Candy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14958984&key=Mqr6gy1W,Female,2.5 years,55.00lbs,Labrador Retriever,Brown & White,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime),,,,,,,,,,FLRN-FD-19-1336,,2017-10-15,2019-12-08,,,,
Cara,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15172950&key=Mqr6gy1W,Female,1.5 years,28.00lbs,Labrador Retriever,White,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); bully warning,,,,,,,,,,PRCO-FD-19-1675,,2018-04-13,2019-12-22,,,,
Cash,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15150366&key=Mqr6gy1W,Male,10 months,40.00lbs,Labrador Retriever,Black,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,FLRN-MD-19-1580,,2019-02-02,2019-12-08,,,,
Celia,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114612&key=Mqr6gy1W,Female,9 months,20.00lbs,"Beagle, Labrador Retriever",Black,Yes,,,,,Dec,2019,,,,,,,New this week; caution on apartments due to breed,,,,,,,,,,FLRN-FD-19-1606,,2019-01-17,2019-12-07,,,,
Chardonnay (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=11115902&key=Mqr6gy1W,Female,4 years,60.00lbs,Labrador Retriever,Brown,Yes,Passed test,Lived with,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); lived with kids; adopters note stranger danger and guarding tendencies; passed cat test,,,Yes,,,,,,,FLRN-FD-17-0431,,2015-04-06,2019-12-01,Mix,years,,Yes
Cheese,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15143573&key=Mqr6gy1W,Male,6 months,35.00lbs,"Hound, Great Dane",Orange,Yes,,,,,Dec,2019,,,,,,,New this week; older puppy,,,,,,,,,,FLRN-MD-19-1581,,,2019-12-08,,,,
Chloe,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14096707&key=Mqr6gy1W,Female,2.5 years,30.00lbs,"Labrador Retriever, Dalmation",Yellow,Yes,Passed test,Yes,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); good with kids; passed cat test,,,,,,,,,,GBHS-FD-19-0233,,2017-08-21,2019-12-22,,,,
Chuie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15172954&key=Mqr6gy1W,Male,2 years,45.00lbs,Labrador Retriever,Black & White,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,KAHS-MD-19-1679,,2017-12-01,2019-12-15,,,,
Clay,,Male,2.5 years,50.00lbs,Labrador Retriever,Golden,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime),,,,,,,,,,FLRN-MD-18-1771,,2017-11-27,2019-12-08,,,,
Dainty,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15055945&key=Mqr6gy1W,Female,1 year,30.00lbs,"Beagle, Hound",Black & Tan,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); caution on apartments due to breed,,,,,,,,,,FLRN-FD-19-1528,,2018-11-09,2019-12-01,,,,
Dayna,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15229539&key=Mqr6gy1W,Female,2 years,33.00lbs,Labrador Retriever,Black,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,FLRN-FD-19-1712,,2017-12-15,2019-12-29,,,,
Doby (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14960307&key=Mqr6gy1W,Male,2 years,50.00lbs,Labrador Retriever,Yellow,Yes,Passed test,Lived with,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); HW treated 10/22/19; lived with kids; passed cat test,,,,,,,,,,FLRN-MD-19-1582,,2017-10-15,2019-12-14,,,,
Dorian (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14857998&key=Mqr6gy1W,Male,2 years,50.00lbs,Labrador Retriever,Brown (chocolate),Yes,,Lived with,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); HW treated 10/1/19; lived with kids,,,,,,,,,,FLRN-MD-19-1367,,2017-09-02,2019-12-28,,,,
Dudley (2 shots),,Male,,,,,,,,,,Dec,2019,,,,,,,,,,,,,,,,,FLRN-MD-19-1607,,2019-10-07,2019-12-08,,,,
Duke,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14958370&key=Mqr6gy1W,Male,2 years,52.00lbs,Labrador Retriever,Black,REQUIRED,,No,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); 2nd dog required; no kids under 12 due to shyness,,,,,,,,,,FLRN-MD-19-1342,,2017-10-15,2019-12-15,,,,
English,,Female,6 years,30.00lbs,English Bulldog,Black & White,Yes,,,,,Dec,2019,,,,,,,New this week; medium energy,,,,,,,,,,FLRN-FD-19-1632,,2013-11-07,,,,,
Farley (2 shots),,Female,,,,,,,,,,Dec,2019,,,,,,,,,,,,,,,,,FLRN-FD-19-1650,,2019-09-12,2019-12-08,,,,
Feliz,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15150344&key=Mqr6gy1W,Male,5 months,25.00lbs,Labrador Retriever,Tan,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); older puppy; commitment to socialization (shy),,,,,,,,,,FLRN-MD-19-1583,,2019-07-04,2019-12-15,,,,
Flame,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15072440&key=Mqr6gy1W,Male,1 year,45.00lbs,Retriever,Yellow,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime),,,,,,,,,,FLRN-MD-19-1497,,2018-11-10,2019-12-08,,,,
Frannie (2 shots),,Female,,,,,,,,,,Dec,2019,,,,,,,,,,,,,,,,,FLRN-FD-19-1651,,2019-09-12,2019-12-08,,,,
Frosty,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15232388&key=Mqr6gy1W,Male,2 years,56.00lbs,"Labrador Retriever, Shepherd",Black,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,FLRN-MD-19-1715,,2017-12-25,2019-12-29,,,,
Garmin (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175859&key=Mqr6gy1W,Male,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-MD-19-1633,,2019-10-13,2019-12-15,,,,
Garret,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=4212885&key=Mqr6gy1W,Male,7 years,65.00lbs,"Labrador Retriever, Spaniel",Black & White,Yes,,Lived with,,,Dec,2019,,,,,,,Medium energy; best with slow intro with dogs; lived with kids,,,No,,,,,,,PICK-MD-12-0084,,2012-01-01,2019-12-15,Mix,weeks,Labrador Retriever,No
Gatsby (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175874&key=Mqr6gy1W,Male,1 month,7.00lbs,Labrador Retriever,Golden,Yes,,,S/N: 4/7/20,,Dec,2019,,,,,,,Puppy Screen,,,,,,,,,,FLRN-MD-19-1634,,2019-10-13,2019-12-22,,,,
Georgie (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14958392&key=Mqr6gy1W,Male,1 year,55.00lbs,Labrador Retriever,Black,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); HW treated 10/15/19; very high energy (needs daily running),,,,,,,,,,FLRN-MD-19-1499,,2018-10-15,2019-12-08,,,,
Giblet (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175836&key=Mqr6gy1W,Female,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,,Dec,2019,,,,,,,Puppy Screen,,,,,,,,,,FLRN-FD-19-1641,,2019-10-13,,,,,
Giddy (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175843&key=Mqr6gy1W,Female,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-FD-19-1642,,2019-10-13,2019-12-15,,,,
Gideon (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175851&key=Mqr6gy1W,Male,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-MD-19-1643,,2019-10-13,2019-12-14,,,,
Gift (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175818&key=Mqr6gy1W,Female,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-FD-19-1654,,2019-10-13,2019-12-15,,,,
Gigi (2 shots),,Female,,,,,,,,,,Dec,2019,,,,,,,,,,,,,,,,,FLRN-FD-19-1584,,2019-09-14,2019-12-05,,,,
Glitter (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175808&key=Mqr6gy1W,Female,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,,Dec,2019,,,,,,,Puppy Screen,,,,,,,,,,FLRN-FD-19-1655,,2019-10-13,,,,,
Griswold (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175868&key=Mqr6gy1W,Male,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,,Dec,2019,,,,,,,Puppy Screen,,,,,,,,,,FLRN-MD-19-1656,,2019-10-13,,,,,
Gus,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15055963&key=Mqr6gy1W,Male,1 year,29.00lbs,"Beagle, Labrador Retriever",Black & White,Yes,,Lived with,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); lived with kids; caution on apartments due to breed,,,,,,,,,,FLRN-MD-19-1500,,2018-11-09,2019-12-01,,,,
Hailey,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=10786411&key=Mqr6gy1W,Female,2 years,57.00lbs,Labrador Retriever,Tan,NO,,,,,Dec,2019,,,,,,,Dog parks best at off hours; must be only dog; walks alone not enough (needs running and playtime),,,No,,,,,,,HERT-FD-16-1216,,,2019-12-09,Mix,weeks,,No
Hannah (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15238438&key=Mqr6gy1W,Female,1.5 months,6.50lbs,Labrador Retriever,Brown,Yes,,,S/N: 5/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-FD-19-1707,,2019-11-07,2019-12-29,,,,
Happy (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15238449&key=Mqr6gy1W,Female,1.5 months,6.50lbs,Labrador Retriever,Black & White,Yes,,,S/N: 5/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-FD-19-1708,,2019-11-07,2019-12-29,,,,
Helena,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15010425&key=Mqr6gy1W,Female,2 years,50.00lbs,"Retriever, Bulldog",Brown & White,Yes,,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); Bully Screen; recovering from demodex,,,,,,,,,,FLRN-FD-19-1502,,2017-10-15,2019-12-01,,,,
Henley (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15238890&key=Mqr6gy1W,Male,1.5 months,6.50lbs,Labrador Retriever,Black & Tan,Yes,,,S/N: 5/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-MD-19-1698,,2019-11-07,2019-12-29,,,,
Hinnie (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15238445&key=Mqr6gy1W,Female,1.5 months,6.50lbs,Labrador Retriever,Tan & White,Yes,,,S/N: 5/1/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-FD-19-1734,,2019-11-07,2019-12-29,,,,
Inspector Gadget,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14071306&key=Mqr6gy1W,Male,2 years,77.00lbs,Labrador Retriever,Black & Brown,Yes,No,Yes,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); good with kids; no cats; can be mouthy,,,,,,,,,,HERT-MD-19-0197,,2017-02-11,2019-12-22,,,,
Jack,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15125584&key=Mqr6gy1W,Male,10 months,30.00lbs,Shepherd,Fawn,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,FLRN-MD-19-1585,,,2019-12-08,,,,
Jangles (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173838&key=Mqr6gy1W,Female,1 month,5.00lbs,Shepherd,Fawn & White,Yes,,,S/N: 4/15/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-FD-19-1657,,2019-10-20,2019-12-15,,,,
Jaycee,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15137717&key=Mqr6gy1W,Female,1 year,45.00lbs,Flat-coated Retriever,Black,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,FLRN-FD-19-1586,,2018-11-16,,,,,
Jellybean,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15140267&key=Mqr6gy1W,Female,6 months,25.00lbs,"Labrador Retriever, Beagle",Black & White,Yes,,,,,Dec,2019,,,,,,,New this week; caution on apartments due to breed; older puppy,,,,,,,,,,FLRN-FD-19-1609,,2019-06-02,2019-12-08,,,,
Jig (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173832&key=Mqr6gy1W,Male,1 month,5.00lbs,Shepherd,Black & White,Yes,,,S/N: 4/15/20,,Dec,2019,,,,,,,Puppy Screen,,,,,,,,,,FLRN-MD-19-1658,,2019-10-20,,,,,
Jill,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15169506&key=Mqr6gy1W,Female,10 months,37.00lbs,Pointer,Black & White,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,KINS-FD-19-1610,,2019-02-01,2019-12-15,,,,
Jingle (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173816&key=Mqr6gy1W,Male,1 month,5.00lbs,Shepherd,Black & White,Yes,,,S/N: 4/15/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-MD-19-1659,,2019-10-20,2019-12-14,,,,
Jolly (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173826&key=Mqr6gy1W,Male,1 month,5.00lbs,Shepherd,Black,Yes,,,S/N: 4/15/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-MD-19-1660,,2019-10-20,2020-07-11,,,,
Joyeux (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173942&key=Mqr6gy1W,Female,1 month,5.00lbs,Shepherd,Golden,Yes,,,S/N: 4/15/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-FD-19-1661,,2019-10-20,2019-12-14,,,,
Joyful (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173891&key=Mqr6gy1W,Female,1 month,5.00lbs,Shepherd,Black & White,Yes,,,S/N: 4/15/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-FD-19-1662,,2019-10-20,2020-05-24,,,,
JR,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15128441&key=Mqr6gy1W,Male,2 years,29.00lbs,Basset Hound,Tan & White,Yes,Passed test,,,,Dec,2019,,,,,,,Walks alone not enough (needs running or playtime); caution on apartments due to breed; passed cat test,,,,,,,,,,FLRN-MD-19-1587,,2018-11-11,2019-12-22,,,,
Jubilee (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173845&key=Mqr6gy1W,Female,1 month,5.00lbs,Shepherd,Fawn & White,Yes,,,S/N: 4/15/20,,Dec,2019,,,,,,,New this week; Puppy Screen,,,,,,,,,,FLRN-FD-19-1663,,2019-10-20,2019-12-15,,,,
June,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15141908&key=Mqr6gy1W,Female,10 months,40.00lbs,Labrador Retriever,Black,Yes,,,,,Dec,2019,,,,,,,New this week,,,,,,,,,,FLRN-FD-19-1611,,2019-02-02,2019-12-08,,,,
