DOG NAME,LINK,SEX,AGE,WEIGHT,BREED MIXES,COLOR,DOGS IN HOME,CATS,KIDS,MEDICAL NOTES,month,year,ID,STATUS,BEHAVIORAL NOTES,BS/W,FOSTER HOME,TRANSPORT DATE,ALTERED,HW,FT,C,Date of Birth,Adopted On,MIX,AGE MEASURE,SECONDARY BREED,SPAYED/NEUTERED
Birdie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15138376&key=Mqr6gy1W,Female,8 months,30.00lbs,Labrador Retriever,Golden,Yes,,,,Dec,2019,FLRN-FD-19-1578,,New this week,,,,,,,,3/8/2019,12/8/2019,,,,
Cash,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15150366&key=Mqr6gy1W,Male,10 months,40.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-MD-19-1580,,New this week,,,,,,,,2/2/2019,12/8/2019,,,,
Celia,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114612&key=Mqr6gy1W,Female,9 months,20.00lbs,"Beagle, Labrador Retriever",Black,Yes,,,,Dec,2019,FLRN-FD-19-1606,,New this week; caution on apartments due to breed,,,,,,,,1/17/2019,12/7/2019,,,,
Cheese,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15143573&key=Mqr6gy1W,Male,6 months,35.00lbs,"Hound, Great Dane",Orange,Yes,,,,Dec,2019,FLRN-MD-19-1581,,New this week; older puppy,,,,,,,,,12/8/2019,,,,
Candy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14958984&key=Mqr6gy1W,Female,2.5 years,55.00lbs,Labrador Retriever,Brown & White,Yes,,,,Dec,2019,FLRN-FD-19-1336,,Walks alone not enough (needs running or playtime),,,,,,,,10/15/2017,12/8/2019,,,,
Clay,,Male,2.5 years,50.00lbs,Labrador Retriever,Golden,Yes,,,,Dec,2019,FLRN-MD-18-1771,,Walks alone not enough (needs running or playtime),,,,,,,,11/27/2017,12/8/2019,,,,
Dudley (2 shots),,Male,,,,,,,,,Dec,2019,FLRN-MD-19-1607,,,,,,,,,,10/7/2019,12/8/2019,,,,
Farley (2 shots),,Female,,,,,,,,,Dec,2019,FLRN-FD-19-1650,,,,,,,,,,9/12/2019,12/8/2019,,,,
Frannie (2 shots),,Female,,,,,,,,,Dec,2019,FLRN-FD-19-1651,,,,,,,,,,9/12/2019,12/8/2019,,,,
Gigi (2 shots),,Female,,,,,,,,,Dec,2019,FLRN-FD-19-1584,,,,,,,,,,9/14/2019,12/5/2019,,,,
Jack,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15125584&key=Mqr6gy1W,Male,10 months,30.00lbs,Shepherd,Fawn,Yes,,,,Dec,2019,FLRN-MD-19-1585,,New this week,,,,,,,,,12/8/2019,,,,
Jaycee,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15137717&key=Mqr6gy1W,Female,1 year,45.00lbs,Flat-coated Retriever,Black,Yes,,,,Dec,2019,FLRN-FD-19-1586,,New this week,,,,,,,,11/16/2018,,,,,
Jellybean,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15140267&key=Mqr6gy1W,Female,6 months,25.00lbs,"Labrador Retriever, Beagle",Black & White,Yes,,,,Dec,2019,FLRN-FD-19-1609,,New this week; caution on apartments due to breed; older puppy,,,,,,,,6/2/2019,12/8/2019,,,,
Flame,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15072440&key=Mqr6gy1W,Male,1 year,45.00lbs,Retriever,Yellow,Yes,,,,Dec,2019,FLRN-MD-19-1497,,Walks alone not enough (needs running or playtime),,,,,,,,11/10/2018,12/8/2019,,,,
Georgie (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14958392&key=Mqr6gy1W,Male,1 year,55.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-MD-19-1499,,Walks alone not enough (needs running or playtime); HW treated 10/15/19; very high energy (needs daily running),,,,,,,,10/15/2018,12/8/2019,,,,
June,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15141908&key=Mqr6gy1W,Female,10 months,40.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-FD-19-1611,,New this week,,,,,,,,2/2/2019,12/8/2019,,,,
Keanu,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15010428&key=Mqr6gy1W,Male,1 year,35.00lbs,Terrier,Tan,Yes,No,,,Dec,2019,FLRN-MD-19-1504,,Walks alone not enough (needs running or playtime); bully Screen; no cats,,,,,,,,10/15/2018,,,,,
Maddy,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15070375&key=Mqr6gy1W,Female,2 years,35.00lbs,Spaniel,Tri-color,Yes,,,11/8 - Being treated for ear infection,Dec,2019,FLRN-FD-19-1590,,New this week,,,,,,,,11/10/2017,12/8/2019,,,,
Marla (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14999246&key=Mqr6gy1W,Female,2 years,30.00lbs,Boston Terrier,Brindle,Yes,,,,Dec,2019,FLRN-FD-19-1591,,New this week; HW treated 11/19/19,,,,,,,,10/15/2017,12/7/2019,,,,
Moti,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15027638&key=Mqr6gy1W,Female,1 year,19.00lbs,"Jack Russell Terrier, Dachshund",Tan & White,Yes,,,,Dec,2019,PRCO-FD-19-1488,,Walks alone not enough (needs running or playtime),,,,,,,,,,,,,
Opie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114840&key=Mqr6gy1W,Male,9 months,28.00lbs,Basset Hound,Black,Yes,,,,Dec,2019,FLRN-MD-19-1593,,New this week; caution on apartments due to breed,,,,,,,,3/2/2019,12/7/2019,,,,
Ozzie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15122012&key=Mqr6gy1W,Male,1 year,70.00lbs,German Shepherd,Black & Tan,Yes,,,,Dec,2019,FLRN-MD-19-1594,,New this week; caution on German Shepherd restrictions,,,,,,,,11/10/2018,12/7/2019,,,,
Pearl,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15020415&key=Mqr6gy1W,Female,7 months,30.00lbs,Shepherd,Tan,Yes,,No,,Dec,2019,FLRN-FD-19-1517,,Walks alone not enough (needs running or playtime); commitment to socialization due to shyness; best in residential home,,,,,,,,3/29/2019,12/7/2019,,,,
Pogo (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15127616&key=Mqr6gy1W,Female,2 years,50.00lbs,Retriever,Golden,Yes,,,,Dec,2019,FLRN-FD-19-1595,,New this week; HW treated 11/25/19,,,,,,,,11/11/2017,,,,,
Queen (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14958358&key=Mqr6gy1W,Female,8 years,45.00lbs,"Labrador Retriever, Pointer",Black & White,Yes,,,,Dec,2019,FLRN-FD-19-1596,,New this week; HW treated 11/5/19,,,,,,,,10/15/2011,,,,,
Rena,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15144654&key=Mqr6gy1W,Female,2 years,25.00lbs,Beagle,Tri-color,Yes,,,,Dec,2019,FLRN-FD-19-1617,,New this week; caution on apartments due to breed,,,,,,,,12/23/2017,12/8/2019,,,,
Ron (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15067756&key=Mqr6gy1W,Male,2 years,40.00lbs,Labrador Retriever,Black,Yes,,,,Dec,2019,FLRN-MD-19-1618,,New this week; HW treated 11/12/19,,,,,,,,11/10/2017,12/8/2019,,,,
Snow,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15123179&key=Mqr6gy1W,Male,10 months,10.00lbs,Poodle,White,Yes,,,,Dec,2019,FLRN-MD-19-1602,,New this week,,,,,,,,2/2/2019,12/7/2019,,,,
Wallace,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114626&key=Mqr6gy1W,Male,7 months,30.00lbs,Flat-coated Retriever,Black & White,Yes,,,,Dec,2019,FLRN-MD-19-1603,,New this week; older puppy?,,,,,,,,5/2/2019,,,,,
Hailey,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=10786411&key=Mqr6gy1W,Female,2 years,57.00lbs,Labrador Retriever,Tan,NO,,,,Dec,2019,HERT-FD-16-1216,,Dog parks best at off hours; must be only dog; walks alone not enough (needs running and playtime),,,,,No,,,,12/9/2019,Mix,weeks,,No
Amapola,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15162310&key=Mqr6gy1W,Female,3 years,13.00lbs,Terrier,Fawn,Yes,,,,Dec,2019,PRCO-FD-19-1674,,New this week,,,,,,,,6/1/2016,12/15/2019,,,,
Andi,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15003390&key=Mqr6gy1W,Female,8 months,45.00lbs,Shepherd,Orange & White,Yes,Lived with,Lived with,,Dec,2019,FRKN-FD-19-1389,,Walks alone not enough (needs running or playtime); lived with kids and cats,,,,,,,,4/1/2019,12/12/2019,,,,
Baloo,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15137762&key=Mqr6gy1W,Female,1 year,50.00lbs,Shepherd,Brown (chocolate),Yes,,,,Dec,2019,FLRN-FD-19-1573,,Walks alone not enough (needs running or playtime),,,,,,,,,,,,,
Bianca,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15063898&key=Mqr6gy1W,Female,10 months,40.00lbs,Labrador Retriever,Tan & White,Yes,,,,Dec,2019,FLRN-FD-19-1577,,Walks alone not enough (needs running or playtime),,,,,,,,1/11/2019,,,,,
Biggie Smalls,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14789606&key=Mqr6gy1W,Male,4 years,100.00lbs,"Hound, Shepherd",Tan,Yes,,,,Dec,2019,OTHR-MD-19-1102,,Medium energy; needs to lose weight; resource guarding tendencies,,,,,,,,9/1/2015,12/15/2019,,,,
Blaze,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15114836&key=Mqr6gy1W,Female,6 months,13.00lbs,"Labrador Retriever, Beagle",Black & White,Yes,,,,Dec,2019,FLRN-FD-19-1631,,New this week; older puppy; caution on apartments due to breed,,,,,,,,6/1/2019,,,,,
Cadence,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15054762&key=Mqr6gy1W,Female,1.5 years,40.00lbs,"Shepherd, Retriever",Tan & White,Yes,,,,Dec,2019,KINS-FD-19-1435,,Walks alone not enough (needs running or playtime); a bit shy; bully warning,,,,,,,,5/1/2018,,,,,
Chuie,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15172954&key=Mqr6gy1W,Male,2 years,45.00lbs,Labrador Retriever,Black & White,Yes,,,,Dec,2019,KAHS-MD-19-1679,,New this week,,,,,,,,12/1/2017,12/15/2019,,,,
Doby (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14960307&key=Mqr6gy1W,Male,2 years,50.00lbs,Labrador Retriever,Yellow,Yes,Passed test,Lived with,,Dec,2019,FLRN-MD-19-1582,,Walks alone not enough (needs running or playtime); HW treated 10/22/19; lived with kids; passed cat test,,,,,,,,10/15/2017,12/14/2019,,,,
Duke,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=14958370&key=Mqr6gy1W,Male,2 years,52.00lbs,Labrador Retriever,Black,REQUIRED,,No,,Dec,2019,FLRN-MD-19-1342,,Walks alone not enough (needs running or playtime); 2nd dog required; no kids under 12 due to shyness,,,,,,,,10/15/2017,12/15/2019,,,,
English,,Female,6 years,30.00lbs,English Bulldog,Black & White,Yes,,,,Dec,2019,FLRN-FD-19-1632,,New this week; medium energy,,,,,,,,11/7/2013,,,,,
Feliz,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15150344&key=Mqr6gy1W,Male,5 months,25.00lbs,Labrador Retriever,Tan,Yes,,,,Dec,2019,FLRN-MD-19-1583,,Walks alone not enough (needs running or playtime); older puppy; commitment to socialization (shy),,,,,,,,7/4/2019,12/15/2019,,,,
Garmin (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175859&key=Mqr6gy1W,Male,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,Dec,2019,FLRN-MD-19-1633,,New this week; Puppy Screen,,,,,,,,10/13/2019,12/15/2019,,,,
Garret,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=4212885&key=Mqr6gy1W,Male,7 years,65.00lbs,"Labrador Retriever, Spaniel",Black & White,Yes,,Lived with,,Dec,2019,PICK-MD-12-0084,,Medium energy; best with slow intro with dogs; lived with kids,,,,,No,,,1/1/2012,12/15/2019,Mix,weeks,Labrador Retriever,No
Giddy (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175843&key=Mqr6gy1W,Female,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,Dec,2019,FLRN-FD-19-1642,,New this week; Puppy Screen,,,,,,,,10/13/2019,12/15/2019,,,,
Gideon (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175851&key=Mqr6gy1W,Male,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,Dec,2019,FLRN-MD-19-1643,,New this week; Puppy Screen,,,,,,,,10/13/2019,12/14/2019,,,,
Gift (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15175818&key=Mqr6gy1W,Female,1 month,7.00lbs,Labrador Retriever,Black,Yes,,,S/N: 4/7/20,Dec,2019,FLRN-FD-19-1654,,New this week; Puppy Screen,,,,,,,,10/13/2019,12/15/2019,,,,
Jill,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15169506&key=Mqr6gy1W,Female,10 months,37.00lbs,Pointer,Black & White,Yes,,,,Dec,2019,KINS-FD-19-1610,,New this week,,,,,,,,2/1/2019,12/15/2019,,,,
Jangles (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173838&key=Mqr6gy1W,Female,1 month,5.00lbs,Shepherd,Fawn & White,Yes,,,S/N: 4/15/20,Dec,2019,FLRN-FD-19-1657,,New this week; Puppy Screen,,,,,,,,10/20/2019,12/15/2019,,,,
Jingle (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173816&key=Mqr6gy1W,Male,1 month,5.00lbs,Shepherd,Black & White,Yes,,,S/N: 4/15/20,Dec,2019,FLRN-MD-19-1659,,New this week; Puppy Screen,,,,,,,,10/20/2019,12/14/2019,,,,
Jolly (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173826&key=Mqr6gy1W,Male,1 month,5.00lbs,Shepherd,Black,Yes,,,S/N: 4/15/20,Dec,2019,FLRN-MD-19-1660,,New this week; Puppy Screen,,,,,,,,10/20/2019,7/11/2020,,,,
Joyeux (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173942&key=Mqr6gy1W,Female,1 month,5.00lbs,Shepherd,Golden,Yes,,,S/N: 4/15/20,Dec,2019,FLRN-FD-19-1661,,New this week; Puppy Screen,,,,,,,,10/20/2019,12/14/2019,,,,
Joyful (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173891&key=Mqr6gy1W,Female,1 month,5.00lbs,Shepherd,Black & White,Yes,,,S/N: 4/15/20,Dec,2019,FLRN-FD-19-1662,,New this week; Puppy Screen,,,,,,,,10/20/2019,5/24/2020,,,,
Jubilee (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173845&key=Mqr6gy1W,Female,1 month,5.00lbs,Shepherd,Fawn & White,Yes,,,S/N: 4/15/20,Dec,2019,FLRN-FD-19-1663,,New this week; Puppy Screen,,,,,,,,10/20/2019,12/15/2019,,,,
Kabot,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15169170&key=Mqr6gy1W,Male,2 years,27.00lbs,Beagle,Tri-color,Yes,,,,Dec,2019,KINS-MD-19-1619,,New this week; caution on apartments due to breed,,,,,,,,12/1/2017,12/15/2019,,,,
Maggie (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=12735631&key=Mqr6gy1W,Female,4 years,60.00lbs,Labrador Retriever,Black w/ White Patch,Yes,,,,Dec,2019,FLRN-FD-18-0497,,Walks alone not enough (needs running and playtime): bully warning; HW treated 2/26/18; can be leash reactive,,,,,,,,2/28/2015,12/15/2019,,,,
Marvin,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15172298&key=Mqr6gy1W,Male,6 months,8.00lbs,Jack Russell Terrier,Tan & Wihte,Yes,,,,Dec,2019,KAHS-MD-19-1680,,New this week; older puppy,,,,,,,,6/1/2019,12/15/2019,,,,
Mila (HW),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15067742&key=Mqr6gy1W,Female,2 years,40.00lbs,Labrador Retriever,Black & White,Yes,,,,Dec,2019,FLRN-FD-19-1592,,Walks alone not enough (needs running or playtime); HW treated 11/5/19,,,,,,,,11/22/2017,12/15/2019,,,,
Orville (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15154297&key=Mqr6gy1W,Male,2 months,9.00lbs,Labrador Retriever,Black,Yes,,,S/N: 3/25/20,Dec,2019,FLRN-MD-19-1652,,Puppy Screen,,,,,,,,10/10/2019,12/15/2019,,,,
Otis (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15154308&key=Mqr6gy1W,Male,2 months,9.00lbs,Labrador Retriever,Fawn,Yes,,,S/N: 3/25/20,Dec,2019,FLRN-MD-19-1653,,Puppy Screen,,,,,,,,,,,,,
Piglet,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=8014363&key=Mqr6gy1W,Male,4 years,64.00lbs,Retriever,Tan,No,No,No,"Mycophenolate 250 mg 2x/day; Prednisone 5mg EOD; Tacrolimus on lesions; Long-term exposure to direct sunlight should be avoided as
it can cause an outbreak; MAY BE ALLERGIC TO DOXYCYCLINE; DON'T GIVE HEARTGUARD - USE REVOLUTION",Dec,2019,MTHY-MD-15-0024,,Medium energy; must be only dog; no dog parks; no kids under 12; no cats,,,,,No,,,,12/15/2019,Mix,weeks,,No
Rustlyn,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15168897&key=Mqr6gy1W,Female,10 months,30.00lbs,Labrador Retriever,Tan & White,Yes,,,,Dec,2019,KINS-FD-19-1620,,New this week,,,,,,,,2/1/2019,12/15/2019,,,,
Scooby,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15134635&key=Mqr6gy1W,Male,2 years,47.00lbs,Shepherd,Golden,Yes,,,,Dec,2019,FLRN-MD-19-1600,,Walks alone not enough (needs running or playtime),,,,,,,,11/17/2017,12/15/2019,,,,
Secret,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15016188&key=Mqr6gy1W,Female,1 year,45.00lbs,Shepherd,Tan & White,Yes,,,Swollen front left leg,Dec,2019,FLRN-FD-19-1429,,Walks alone not enough (needs running or playtime),,,,,,,,10/15/2017,12/15/2019,,,,
Sherlock,https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15171258&key=Mqr6gy1W,Male,5 months,14.00lbs,Shepherd,Brindle & White,Yes,,,,Dec,2019,FLRN-MD-19-1671,,New this week; older puppy,,,,,,,,7/4/2019,12/15/2019,,,,
Skip (2 shots),https://toolkit.rescuegroups.org/javascript/v2.0/template1?animalID=15173029&key=Mqr6gy1W,Male,2 months,10.00lbs,Shepherd,Golden,Yes,,,S/N: 3/25/20,Dec,2019,FLRN-MD-19-1667,,New this week; Puppy Screen,,,,,,,,9/25/2019,12/15/2019,,,,
